bibkey	reference
Kobayashi1965	Kobayashi, Takashi. “DEVELOPMENTAL STAGES OF BRACHYNEMA AND ITS ALLIED GENUS OF JAPAN (Pentatomidae): The developmental stages of some species of the Japanese Pentatomoidea XV”. Kontyû 33.3. issn: 0915-5805 (1965): 304–309. Print.	
Kobayashi1994	“Developmental stages of Glaucias and its allied genera of Japan (Hemiptera: Pentatomidae) (the developmental stages of some species of the japanese Pentatomoidea, XVIII)”. Transactions of the Shikoku Entomological Society 20 (1994): 197–205. Print.	
Kobayashi1965a	“Developmental stages of Urochela and an allied genus of Japan (Hemiptera: Urostylidae)”. Transactions of the Shikoku Entomological Society 8 (1965): 94–104. Print.	
Kobayashi1959	“The development stages of some species of the Japanese Pentatomoidea (Hemiptera): VII. Developmental stages of Nezara and its applied genera (Pentatomoidae s. st.)” Japanese Journal of Applied Entomology and Zoology 3 (1959): 221–231. Print.	
Kobayashi1953	“The developmental stages of six species of Japanese Pentatomoidea (Hemiptera)”. Scientific Reports of Matsuyama Agricultural College 11 (1953): 73–79. Print.	
kobayashi1956developmental	“The developmental stages of some species of the Japanese Pentatomoidea (Hemiptera) XI. Developmental stages of Scotinophara (Pentatomidae)”. Japanese Journal of Applied Entomology and Zoology 7.1 (1963): 70–78. Print.	
Kobayashi1954	“The developmental stages of some species of the Japanese Pentatomoidea (Hemiptera), III”. Transactions of the Shikoku Entomological Society 4 (1954): 63–68. Print.	
KOBAYASHI1955	“The developmental stages of some species of the Japanese Pentatomoidea (Hemiptera), IV”. Transactions of the Shikoku Entomological Society 4 (1955): 79–82. Print.	
Kobayashi1956	“The developmental stages of some species of the Japanese Pentatomoidea (Hemiptera), V”. Transactions of the Shikoku Entomological Society 4 (1956): 120–130. Print.	
KOBAYASHI1967	“The Developmental Stages of Some Species of the Japanese Pentatomoidea (Hemiptera): XVI. Homalogonia and an Allied Genus of Japan (Pentatomidae)”. Japanese Society of Applied Entomology and Zoology 2.1. issn: 0003-6862 (1967): 1–8. Print.	
kobayashi1967developmental	“The Developmental Stages of Some Species of the Japanese Pentatomoidea (Hemiptera): XVI. Homalogonia and an Allied Genus of Japan (Pentatomidae)”. Japanese Society of Applied Entomology and Zoology 2.1 (1967): 1–8. Print.	
Kobayashi1960a	“The developmental stages of some species of the Japanese Pentatomoidea (Hemiptera). IX. Developmental stages of Lagynotomus, Aelia, and their allied genera (Pentatomidae s. str.)” Japanese Journal of Applied Entomology and Zoology 3 (1960): 11–19. Print.	
Kobayashi1960	“The developmental stages of some species of the Japanese Pentatomoidea (Hemiptera). X. Developmental stages of Eysarcoris and its allied genera”. Japanese Journal of Applied Entomology and Zoology 4 (1960): 83–95. Print.	
Kobayashi1963	“The developmental stages of some species of the Japanese Pentatomoidea (Hemiptera). XI. Developmental stages of Scotinophara (Pentatomidae)”. Japanese Journal of Applied Entomology and Zoology 7.1 (1963): 70–78. Print.	
kobayashi1965developmental	“The developmental stages of some species of the Japanese Pentatomoidea (Hemiptera). XIV. Developmental stages of Graphosoma and its allied genera of Japan (Pentatomidae)”. Japanese Journal of Applied Entomology and Zoology 9 (1965): 34–41. Print.	
kobayashi1988phylogenetic	Kobayashi, Y and Hiroshi Ando. “Phylogenetic relationships among the lepidopteran and trichopteran suborders (Insecta) from the embryological standpoint”. Journal of Zoological Systematics and Evolutionary Research 26.3 (1988): 186–210. Print.	
Kobayashi1995	Kobayashi, Y and G W Gibbs. “The Early Embryonic-Development of the Mnesarchaeid Moth, Mnesarchaea-Fusilella Walker (Lepidoptera, Mnesarchaeidae), and Its Phylogenetic Significance”. Australian Journal of Zoology 43.5. issn: 1446-5698 (1995): 479–488. Print.	
kobayashi1987structure	Kobayashi, Yoshihiro and Keiichiro Miya. “Structure of egg cortex relating to presumptive embryonic and extraembryonic regions in silkworm, Bombyx mori (Bombycidae: Lepidoptera)”. Recent advances in Insect Embryology in Japan and Poland. 1987. 181–194. Print.	
Kobayashi1998	Kobayashi, Yukimasa. “Embryogenesis of the fairy moth, Nemophora albiantennella Issiki (Lepidoptera, Adelidae), with special emphasis on its phylogenetic implications”. International Journal of Insect Morphology and Embryology 27.3. issn: 0020-7322 (1998): 157–166. Print.	
Kobayashi1990	Kobayashi, Yukimasa and Hiroshi Ando. “Early embryonic development and external features of developing embryos of the caddisfly, Nemotaulius admorsus (Trichoptera: Limnephilidae)”. Journal of Morphology 203.1. issn: 1097-4687 (1990): 69–85. Print.	
Kobayashi1981	“The embryonic development of the primitive moth, Neomicropteryx nipponensis Issiki (Lepidoptera, Micropterygidae): morphogenesis of the embryo by external observation”. Journal of Morphology 169.1. issn: 1097-4687 (1981): 49–59. Print.	
Kobayashi2002	Kobayashi, Yukimasa, Hirobumi Suzuki, and Nobuyoshi Ohba. “Embryogenesis of the glowworm Rhagophthalmus ohbai Wittmer (Insecta: Coleoptera, Rhagophthalmidae), with emphasis on the germ rudiment formation”. Journal of Morphology 253.1. issn: 1097-4687 (2002): 1–9. Print.	
Kobayashi2013	Kobayashi, Yukimasa, et al. “Embryonic development of Carabus insulicola (Insecta, Coleoptera, Carabidae) with special reference to external morphology and tangible evidence for the subcoxal theory”. Journal of Morphology 274.12. issn: 1097-4687 (2013): 1323–1352. Print.	
kovcarek2010case	Kocarek, P. “A case of viviparity in a tropical non-parasitizing earwig (Dermaptera Spongiphoridae)”. Tropical Zoology 22. issn: 0749-6737 (2009): 237–241. Print.	
Koedam1996	Koedam, D, et al. “Morphology of reproductive and trophic eggs and their controlled release by workers in Trigona (Tetragonisca) angustula llliger (Apidae, Meliponinae)”. Physiological Entomology 21.4. issn: 1365-3032 (1996): 289–296. Print.	
KOJIMA1990	Kojima, Junichi. “Immatures of hover wasps (Hymenoptera, Vespidae, Stenogastrinae)”. Kontyû 58.3. issn: 0915-5805 (1990): 506–522. Print.	
Komatsu2012	Komatsu, Shintaro and Yukimasa Kobayashi. “Embryonic development of a whirligig beetle, Dineutus mellyi, with special reference to external morphology (insecta: Coleoptera, Gyrinidae)”. Journal of Morphology 273.5. issn: 1097-4687 (2012): 541–560. Print.	
Konecna2014	Konečná, Hana and Hana Šefrová. “Morphology, Biology and Control Possibilities of Two Argyresthia species – A. thuiella and A. trifasciata (Lepidoptera: Argyresthiidae)”. Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis 62.3. issn: 1211-8516 (2014): 529–538. Print.	
Konopko2014	Konopko, Susana Amanda. “Description of the Immature Stages of Sigara (Aphelosigara) tucma”. Journal of Insect Science 14.1. issn: 1536-2442 (2014). Print.	
Konopko2013a	“Description of the immature stages of Sigara (Tropocorixa) santiagiensis (Hungerford, 1928) (Insecta: Heteroptera: Corixidae)”. Journal of Natural History 47.29-30. issn: 0022-2933 (2013): 1959–1982. Print.	
Konopko2012	“Description of the immature stages of Sigara (Tropocorixa) schadei (Hungerford) (Hemiptera: Heteroptera: Corixidae)”. Zootaxa 3487 (2012): 41–57. Print.	
Konopko2013	“Immature stages of the genus Ectemnostega Enderlein (Hemiptera: Heteroptera: Corixidae), with an identification key to instars and redescription of the nymphs of E. (Ectemnostega) quadrata (Signoret)”. Studies on Neotropical Fauna and Environment 48.1. issn: 0165-0521 (2013): 40–55. Print.	
Konopko2011a	Konopko, Susana Amanda and Silvia A N A Mazzucconi. “The immature stages of the genus Trepobates Uhler (Hemiptera: Heteroptera: Gerridae), with an identification key to instars and the description of the nymphs of T. taylori (Kirkaldy)”. Zootaxa 2733 (2011): 1–15. Print.	
Konopko2011	Konopko, Susana Amanda, Silvia A N A Mazzucconi, and Axel Oscar Bachmann. “Description of the immature stages of Trichocorixa mendozana Jaczewski (Hemiptera: Heteroptera: Corixidae)”. Zootaxa 3060 (2011): 47–61. Print.	
KONOPKO2013	Konopko¹, Susana Amanda, Silvia A N A Mazzucconi, and Monica Lopez Ruf. “Studies on the chorionic structure of the eggs of Corixoidea (Hemiptera: Heteroptera) with scanning electron microscopy”. Zootaxa 3737.3 (2013): 223–240. Print.	
Koppenhofer1994	Koppenhöfer, A M. “Observations on the bionomics of Thyreocephalus interocularis (Eppelsheim) (Col., Staphylinidae), a predator of the banana weevil”. Journal of Applied Entomology 117.1-5. issn: 1439-0418 (1994): 388–392. Print.	
korboot1961observations	Korboot, Katherine. “Observations on the life histories of the stick insects Acrophylla tessellata Gray and Extatosoma tiaratum Macleay”. University of Queensland Papers, Department of Entomology 1.11 (1961): 161–169. Print.	
Kormondy1959	Kormondy, Edward J. The systematics of Tetragoneuria, based on ecological, life history, and morphological evidence (Odonata: Corduliidae). 1959. Print.	
kornhauser1919sexual	Kornhauser, Sidney I. “The sexual characteristics of the membracid, Thelia bimaculata (Fabr.). I. External changes induced by Aphelopus theliae (Gahan)”. Journal of Morphology 32.3 (1919): 531–636. Print.	
Korycinska2012a	Korycinska, Anastasia. “A description of the eggs of seven species of Noctuidae (Lepidoptera) commonly transported by plant trade to the UK, and their separation using stereomicroscopy and scanning electron microscopy”. Tijdschrift voor Entomologie 155.1. issn: 2211-9434 (2012): 15–28. Print.	
KOSS1974	Koss, Richard W and George F Edmunds. “Ephemeroptera eggs and their contribution to phylogenetic studies of the order”. Zoological journal of the Linnean Society 55.4. issn: 1096-3642 (1974): 267–349. Print.	
Kovarik1995	Kovarik, Peter W. “Development of Epierus divisus Marseul (Coleoptera: Histeridae)”. The Coleopterists’ Bulletin. issn: 0010-065X (1995): 253–260. Print.	
kozoposition	Kozo, M I Y. “Description of the eggs of common Plecoptera of western United States”. Recent advances in Insect Embryology in Japan and Poland. 1987. Print.	
Kraus1989	Kraus, William F, Michael J Gonzales, and Sandra L Vehrencamp. “Egg development and an evaluation of some of the costs and benefits for paternal care in the belostomatid, Abedus indentatus (Heteroptera: Belostomatidae)”. Journal of the Kansas Entomological Society. issn: 0022-8567 (1989): 548–562. Print.	
krause1953stages	Krause, James B and Marie Therese Ryan. “The stages of development in the embryology of the horned passalus beetle, Popilius disjunctus Illiger”. Annals of the Entomological Society of America 46.1 (1953): 1–20. Print.	
Krysan1976	Krysan, James L. “The early embryology of Diabrotica undecimpunctata howardi (Coleoptera: Chrysomelidae)”. Journal of Morphology 149.1. issn: 1097-4687 (1976): 121–137. Print.	
Kucerova2002	Kučerová, Zuzana. “Stored product psocids (Psocoptera): External morphology of eggs”. European Journal of Entomology. issn: 1210-5759 (2002). Print.	
Kucerova2010c	Kučerová, Zuzana, J Hromádková, and V Stejskal. “External egg morphology of common stored-product pests from the families Anobiidae (Ptininae) and Dermestidae (Coleoptera)”. 10th International Working Conference on Stored Product Protection. 2010. 135–138. issn: 1868-9892. Print.	
Kucerova2002a	Kučerová, Zuzana and Milan Jokeš. “External morphology of eggs of the synanthrophic psocid Dorypteryx domestica (Psocoptera, Psyllipsocidae)”. Deutsche Entomologische Zeitschrift 49.1. issn: 1860-1324 (2002): 165–169. Print.	
Kucerova2008a	Kučerová, Zuzana and Vaclav Stejskal. “Differences in egg morphology of the stored-grain pests Rhyzopertha dominica and Prostephanus truncatus (Coleoptera: Bostrichidae)”. Journal of Stored Products Research 44.1. issn: 0022-474X (2008). Print.	
Kucerova2002b	Kučerová, Zuzana and Václav Stejskal. “Comparative egg morphology of silvanid and laemophloeid beetles (Coleoptera) occurring in stored products”. Journal of Stored Products Research 38.3. issn: 0022-474X (2002): 219–227. Print.	
Kucerova2010a	“External egg morphology of two stored-product anobiids, Stegobium paniceum and Lasioderma serricorne (Coleoptera: Anobiidae)”. Journal of Stored Products Research 46.3. issn: 0022-474X (2010): 202–205. Print.	
Kucerova2010	Kučerová, Zuzana and Václav Stejskal. “External egg morphology of two stored-product anobiids, Stegobium paniceum and Lasioderma serricorne (Coleoptera: Anobiidae)”. Journal of Stored Products Research 46.3. issn: 0022-474X (2010): 202–205. Print.	
Kucerova2012	Kučerová, Zuzana, et al. “The external morphology of females, males and eggs of a Liposcelis silvarum (Insecta: Psocodea: Liposcelididae) strain with unusually developed compound eyes, visualised with scanning electron microscopy”. Italian Journal of Zoology 79.3. issn: 1125-0003 (2012): 402–409. Print.	
Kula1989	Kula, E. “Sculpture of exochorion in some eggs of Syrphidae (Diptera) (Pt. 2)”. Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis. issn: 0524-7438 (1989). Print.	
KUMAR1987	Kumar, Ashwani, V C Kapoor, and Pavel Laska. “Immature stages of some aphidophagous syrphid flies of India (Insecta, Diptera, Syrphidae)”. Zoologica Scripta 16.1. issn: 1463-6409 (1987): 83–88. Print.	
Kumar1966	Kumar, R. “Studies on the biology, immature stages and relative groowth of some Australian bugs of the superfamily Coreoidea (Hemiptera: Heteroptera)”. Australian Journal of Zoology 14.5. issn: 1446-5698 (1966): 895–991. Print.	
Kumar2010	Kumar, Rajesh and V V Ramamurthy. “Morphology and bionomics of Phycodes radiata Ochsenheimer (Lepidoptera: Brachodidae) from New Delhi, India”. Tijdschrift voor Entomologie 153.1. issn: 2211-9434 (2010): 15–24. Print.	
kumar2010egg	Kumar, Rakesh, Adesh Kumar, and Eberhard Mey. “Egg microtopography of chicken bug louse, Stenocrotaphus gigas (Taschenberg) (Phthiraptera: Ischnocera, Goniodidae)”. Rudolstädter naturhistorische Schriften 16 (2010): 111–115. Print.	
Kumar2008	Kumar, Vineet and Chandrakant K Kamble. “Scanning electron microscope study on the egg chorion of silkmoth, Antheraea assamensis Helf. (Lepidoptera: Saturniidae)”. Animal Biology 58.2. issn: 1570-7563 (2008): 235–244. Print.	
Kumar2002	Kumar, Vineet, et al. “Egg shell architecture of the stink bug, Eocanthecona furcellata (Wolff.): Ultrastructure of micropylar processes and egg burster”. International Journal of Tropical Insect Science 22.1. issn: 1742-7592 (2002): 67–73. Print.	
Kumar2003	Kumar, Vineet, et al. “Eggshell Fine Structure of Amata passalis F.(Lepidoptera: Amatidae), a Pest of Mulberry”. International Journal of Tropical Insect Science 23.4. issn: 1742-7592 (2003): 325–330. Print.	
Kumar2007	Kumar, Vineet, et al. “Surface ultrastructure of the egg chorion of eri silkworm, Samia ricini (Donovan) (Lepidopotera: Saturniidae)”. Journal of Entomology 4 (2007): 68–81. Print.	
Kumbhar2012	Kumbhar, S M, et al. “Biology of Chiloloba orientalis”. Journal of Insect Science 12.1. issn: 1536-2442 (2012): 1–15. Print.	
Kuniata1992	Kuniata, L S and G R Young. “The biology of Lepidiota reuleauxi Brenske (Coleoptera: Scarabaeidae), a pest of sugarcane in Papua New Guinea”. Australian Journal of Entomology 31.4. issn: 1440-6055 (1992): 339–343. Print.	
Kurczewski1987	Kurczewski, Frank E. “A review of nesting behavior in the Tachysphex pompiliformis group, with observations on five species (Hymenoptera: Sphecidae)”. Journal of the Kansas Entomological Society. issn: 0022-8567 (1987): 118–126. Print.	
Kurczewski1976	“Behavioral Observations on Some Tachytini and Larrini (Hymenoptera: Sphecidae)”. Journal of the Kansas Entomological Society. issn: 0022-8567 (1976): 327–332. Print.	
Kurczewski2001	“Comparative nesting behavior of Episyron quinquenotatus (Hymenoptera: Pompilidae) in the northeastern United States”. Northeastern Naturalist 8.4. issn: 1092-6194 (2001): 403–426. Print.	
Kurczewski1989	“Observations on the nesting behavior of Auplopus caerulescens subcorticalis and other Auplopodini (Hymenoptera: Pompilidae)”. Great Lakes Entomologist 22.2. issn: 0090-0222 (1989): 71–74. Print.	
Kurczewski1981	“Observations on the nesting behaviors of spider-wasps in southern Florida (Hymenoptera: Pompilidae)”. The Florida Entomologist. issn: 0015-4040 (1981): 424–437. Print.	
Kurczewski1968	Kurczewski, Frank E and Robert E Acciavatti. “A review of the nesting behaviors of the nearctic species of Crabro, including observations on C. advenus and C. latipes (Hymenoptera: Sphecidae)”. Journal of the New York Entomological Society. issn: 0028-7199 (1968): 196–212. Print.	
Kurczewski1978	Kurczewski, Frank E and Nancy B Elliott. “Nesting behavior and ecology of Tachysphex pechumani Krombein (Hymenoptera: Sphecidae)”. Journal of the Kansas Entomological Society. issn: 0022-8567 (1978): 765–780. Print.	
Kurczewski1973	Kurczewski, Frank E and Edmund J Kurczewski. “Host records for some North American Pompilidae (Hymenoptera). Third Supplement. Tribe Pompilini”. Journal of the Kansas Entomological Society. issn: 0022-8567 (1973): 65–81. Print.	
Kurczewski1984	Kurczewski, Frank E and Richard C Miller. “Observations on the nesting of three species of Cerceris (Hymenoptera: Sphecidae)”. The Florida Entomologist. issn: 0015-4040 (1984): 146–155. Print.	
Kurczewski1986	Kurczewski, Frank E and Margery G Spofford. “Observations on the behaviors of some Scoliidae and Pompilidae (Hymenoptera) in Florida”. The Florida Entomologist. issn: 0015-4040 (1986): 636–644. Print.	
kuthe1966differenzierungszentrum	Küthe, Heinz-Werner. “Das Differenzierungszentrum als selbstregulierendes Faktorensystem für den Aufbau der Keimanlage im Ei von Dermestes frischi (Coleoptera)”. Wilhelm Roux’Archiv für Entwicklungsmechanik der Organismen 157.3 (1966): 212–302. Print.	
Kyneb2004	Kyneb, A and S Toft. “Quality of two aphid species (Rhopalosiphum padi and Sitobion avenae) as food for the generalist predator Tachyporus hypnorum (Col., Staphylinidae)”. Journal of Applied Entomology 128.9-10. issn: 1439-0418 (2004): 658–663. Print.	
Lachaise1982	Lachaise, Daniel, Leonidas Tsacas, and Guy Couturier. “The Drosophilidae associated with tropical African figs”. Evolution. issn: 0014-3820 (1982): 141–151. Print.	
Lachmann1998	Lachmann, A D. “Sexual receptivity and post-emergence ovarian development in females of Coproica vagans (Diptera: Sphaeroceridae)”. Physiological Entomology 23.4. issn: 1365-3032 (1998): 360–368. Print.	
Laing1969	Laing, D R and L E Caltagirone. “Biology of Habrobracon lineatellae (Hymenoptera: Braconidae)”. The Canadian Entomologist 101.2. issn: 1918-3240 (1969): 135–142. Print.	
Lal1934a	Lal, K B. “The biology of Scottish Psyllidae”. Transactions of the Royal Entomological Society of London 82.2. issn: 1365-2311 (1934): 363–385. Print.	
Lal1966	Lal, Kundan. “Some aspects of the embryology of Tetrastichus pyrillae Craw. (Eulophidae: Hymenoptera)”. Proceedings of the Indian Academy of Sciences - Section B 64.1, (1966): 38–44. Print.	
Lalonde2005	Lalonde, R G. “Egg size variation does not affect offspring performance under intraspecific competition in Nasonia vitripennis, a gregarious parasitoid”. Journal of Animal Ecology 74.4. issn: 1365-2656 (2005): 630–635. Print.	
Lamb1980	Lamb, R J and S M Smith. “Comparison of egg size and related life-history characteristics for two predaceous tree-hole mosquitoes (Toxorhynchites)”. Canadian Journal of Zoology 58.11. issn: 0008-4301 (1980): 2065–2070. Print.	
Landis1992	Landis, D A, C E Sorenson, and E D Cashatt. “Biology of Clydonopteron sacculana (Lepidoptera: Pyralidae) in North Carolina, with description of the egg stage”. Annals of the Entomological Society of America 85.5. issn: 0013-8746 (1992): 596–604. Print.	
Lansbury1964	Lansbury, I. “A revision of the genus Paranisops Hale (Heteroptera: Notonectidae)”. Proceedings of the Royal Entomological Society of London. Series B, Taxonomy 33.11-12, (1964): 181–188. Print.	
LANTSOV2009	Lantsov, Vladimir I. “The ecology, biology and larval instars of the North Caucasian population (Lake Maliy Tambukan) of Tipula subcunctans Alexander, 1921 (Diptera: Tipulidae)”. Zoosymposia 3.1 (2009): 115–129. Print.	
larink1969entwicklungsgeschichte	Larink, O. “Zur Entwicklungsgeschichte von Petrobius brevistylis (Thysanura, Insecta)”. Helgoländer wissenschaftliche Meeresuntersuchungen 19.1 (1969): 111–155. Print.	
larink1989fine	Larink, Otto and Szczepan M Biliński. “Fine structure of the egg envelopes of one proturan and two collembolan genera (Apterygota)”. International Journal of Insect Morphology and Embryology 18.1 (1989): 39–45. Print.	
lassmann1936early	Lassmann, Guenther Wolfgang Paul. “The early embryological development of Melophagus ovinus L., with special reference to the development of the germ cells”. Annals of the Entomological Society of America 29.3 (1936): 397–414. Print.	
Laudonia1986a	Laudonia, S and G Viggiani. “Observations on the developmental stages of Edovum puttleri Grissell (Hymenoptera: Eulophidae), an egg-parasitoid of Colorado potato beetle”. Bollettino del Laboratorio di entomologia agraria Filippo Silvestri Portici. issn: 0304-0658 (1986): Structural features of cockroach egg capsules. VII. The ootheca of Cariblatta plagia Rehn & Hebard (Orthoptera: Blattidae). Print.	
Laudonia1986	Laudonia, Stefania and Gennaro Viggiani. “Osservazioni sugli stadi preimmaginali di Cales noacki Howard (Hymenoptera: Aphelinidae)”. Bollettino del Laboratorio di entomologia agraria Filippo Silvestri Portici. issn: 0304-0658 (1986). Print.	
LAUTERER1998	Lauterer, P. “Notes on the distribution and egg shape of several European psyllid species (Homoptera, Psylloidea)”. Acta Musei Moraviae 82 (1998): 157–161. Print.	
Lavigne1964	Lavigne, R J. “Notes on the distribution and ethology of Efferia bicaudata (Diptera: Asilidae), with a description of the eggs”. Annals of the Entomological Society of America 57.3. issn: 0013-8746 (1964): 341–344. Print.	
Lavigne1984	Lavigne, R J and S W Bullington. “Ethology of Laphria fernaldi (Back) (Diptera: Asilidae) in southeast Wyoming”. Proceedings of Entomological Society of Washington 86 (1984): 326–336. Print.	
Lavigne1975	Lavigne, Robert J and D Steve Dennis. “Ethology of Efferia frewingi (Diptera: Asilidae)”. Annals of the Entomological Society of America 68.6. issn: 0013-8746 (1975): 992–996. Print.	
lavigne1980ethology	Lavigne, Robert J, D Steve Dennis, et al. “Ethology of Proctacanthella leucopogon in Mexico (Diptera: Asilidae)”. Proceedings of the Entomological Society of Washington 82.2 (1980): 260–268. Print.	
Lawson1976	Lawson, Fred A. “Egg and larval case formation by Pachybrachis bivittatus”. Annals of the Entomological Society of America 69.5. issn: 0013-8746 (1976): 942–944. Print.	
Lawson1952	“Structural features of cockroach egg capsules IV. The ootheca of Parcoblatta uhleriana. (Orthoptera: Blattidae)”. Journal of the Kansas Entomological Society 27.1. issn: 00228567, 19372353 (1954): 14–20. Print.	
Lawson1967	“Structural features of cockroach egg capsules. V. The ootheca of Lamproblatta albipalpus Hebard (Orthoptera: Blattidae)”. Journal of the Kansas Entomological Society 40.4. issn: 00228567, 19372353 (1967): 601–607. Print.	
lawson1954structural	“Structural features of cockroach egg capsules. VII. The ootheca of Cariblatta plagia Rehn & Hebard (Orthoptera: Blattidae)”. Journal of the Kansas Entomological Society 27.1 (1954): 14–20. Print.	
Lawson1975	“Structural features of cockroach egg capsules. VII. The ootheca of Cariblatta plagia Rehn & Hebard (Orthoptera: Blattidae)”. Journal of the Kansas Entomological Society 48.2. issn: 00228567, 19372353 (1975): 169–174. Print.	
LeBlanc2001	LeBlanc, Debby A and Christian R Lacroix. “Developmental potential of galls induced by Diplolepis rosaefolii (Hymenoptera: Cynipidae) on the leaves of Rosa virginiana and the influence of Periclistus species on the Diplolepis rosaefolii galls”. International Journal of Plant Sciences 162.1 (2001): 29–46. Print.	
Lebouvier1985	Lebouvier, Marc, Georges Chauvin, and Claude Hamon. “L’oeuf de Myrmeleotettix maculatus Thunb. (Orthoptera: Acrididae): absorption d’eau et structure fine des enveloppes”. International Journal of Insect Morphology and Embryology 14.2. issn: 0020-7322 (1985): 91–103. Print.	
LeCato1974	LeCato, G Leonard and B R Flaherty. “Description of eggs of selected species of stored-product insects (Coleoptera and Lepidoptera)”. Journal of the Kansas Entomological Society. issn: 0022-8567 (1974): 308–317. Print.	
Lee2007	Lee, Chi-Feng, Sadatomo Hisamatsu, and Ping-Shih Yang. “Morphology and ontogeny of immature stages of Helotidae based on descriptions of Helota thoracica Ritsema and H. gemmata Gorham (Insecta: Coleoptera: Cucujoidea)”. Zoological Studies 46.6. issn: 1021-5506 (2007): 760–769. Print.	
Lee2014	Lee, Ga-Eun, James Hayden, and Akito Y Kawahara. “External egg morphology of the Hawaiian dancing moth, Dryadaula terpsichorella (Lepidoptera: Tineidae)”. Journal of Natural History 48.15-16. issn: 0022-2933 (2014): 969–974. Print.	
Lee1990	Lee, Jong Eun. “Immature stages of Pyrrhalta humeralis (Chen) and Galeruca vicina Solsky from Japan (Coleoptera, Chrysomelidae)”. Esakia 1. issn: 0071-1268 (1990): 81–91. Print.	
LEE1990a	“Morphological studies on the immature stages of two Japanese species of the genus Galerucella (Coleoptera, Chrysomelidae)”. Japanese Journal of Entomology 58.2. issn: 0915-5805 (1990): 425–439. Print.	
Lees1916	Lees, A H. “Some observations on the egg of Psylla mali”. Annals of Applied Biology 2.4. issn: 1744-7348 (1916): 251–257. Print.	
Lefkovitch1967	Lefkovitch, L P and Jean E Currie. “Some morphological, biological and genetical differences between Cryptolestes pusillus fuscusssp. n. and C. pusillus pusillus (Schönherr) (Coleoptera, Cucujidae)”. Journal of Stored Products Research 3.4. issn: 0022-474X (1967): 311–320. Print.	
leiby1924polyembryonic	Leiby, R W and C C Hill. “The polyembryonic development of Platygaster vernalis”. Journal of Agricultural Research 28 (1924): 829–839. Print.	
Leite1989	Leite, Antônio Cesar Rios and Paul Williams. “Morphological observations on the egg and first instar larva of Metacutereba apicalis (Diptera: Cuterebidae)”. Memórias do Instituto Oswaldo Cruz 84.1. issn: 0074-0276 (1989): 123–130. Print.	
Leite2014a	Leite, L A R, et al. “Immature stages of nine species of genus Dynamine Hübner, [1819]: morphology and natural history (Lepidoptera: Nymphalidae: Biblidinae)”. SHILAP Revista de Lepidopterología 42 (2014): 27–55. Print.	
Leite2012	Leite, Luis Anderson Ribeiro, et al. “Immature stages of the Neotropical butterfly, Dynamine agacles agacles”. Journal of Insect Science 12. issn: 1536-2442 (2012): 1–12. Print.	
Leite2012b	Leite, Luis Anderson Ribeiro, et al. “Immature stages of the Neotropical cracker butterfly, Hamadryas epinome”. Journal of Insect Science 12.74. issn: 1536-2442 (2012): 1–12. Print.	
leonardi2012scanning	Leonardi, María Soledad, et al. “Scanning electron microscopy of Antarctophthirus microchir (Phthiraptera: Anoplura: Echinophthiriidae): Studying morphological adaptations to aquatic life”. Micron 43.9 (2012): 929–936. Print.	
leong2009oviposition	Leong, T M. “Oviposition and hatching in the praying mantis, Hierodula patellifera (Serville) in Singapore (Mantodea: Mantidae: Paramantinae)”. Nature in Singapore 2 (2009): 55–61. Print.	
leong2008records	Leong, T M and S C Teo. “Records of the praying mantis, Theopropus elegans (Westwood) (Mantodea: Hymenopodidae: Hymenopodinae) in Singapore, with notes on oviposition and hatching”. Nature in Singapore 1 (2008): 211–214. Print.	
Leprince1993	Leprince, D J and L D Foil. “Relationships among body size, blood meal size, egg volume, and egg production of Tabanus fuscicostatus (Diptera: Tabanidae)”. Journal of Medical Entomology 30.5. issn: 0022-2585 (1993): 865–871. Print.	
LeSage1984	LeSage, Laurent. “Egg, larva, and pupa of Lexiphanes saponatus (Coleoptera: Chrysomelidae: Cryptocephalinae)”. The Canadian Entomologist 116.4. issn: 1918-3240 (1984): 537–548. Print.	
LeSage1984a	“Immature stages of Canadian Neochlamisus Karren (Coleoptera: Chrysomelidae)”. The Canadian Entomologist 116.3. issn: 1918-3240 (1984): 383–409. Print.	
LeSage1986	“The eggs and larvae of Cryptocephalus quadruplex Newman and C. venustus Fabricius, with a key to the known immature stages of the Nearctic genera of Cryptocephaline leaf beetles (Coleoptera: Chrysomelidae)”. The Canadian Entomologist 118.2. issn: 1918-3240 (1986): 97–111. Print.	
LeSage1985	“The eggs and larvae of Pachybrachis peccans and P. bivittatus, with a key to the known immature stages of the Nearctic genera of Cryptocephalinae (Coleoptera: Chrysomelidae)”. The Canadian Entomologist 117.2. issn: 1918-3240 (1985): 203–220. Print.	
LeSage1982	“The immature stages of Exema canadensis Pierce (Coleoptera: Chrysomelidae)”. The Coleopterists’ Bulletin. issn: 0010-065X (1982): 318–327. Print.	
LeSage1996	LeSage, L, et al. “Biology and immature stages of the North American clytrines Anomoea laticlavia (Forster) and A. flavokansiensis Moldenke”. Chrysomelidae Biology 3 (1996): 217–238. Print.	
